customer_id,Number_of_transactions,Number of Products,amount_spent,Approved,Cancelled,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,year_of_birth,cutomer_age,address,postcode,state,country,property_valuation
1035,3,3,1327.0600000000002,3,0,Kara-lynn,Doddridge,Female,77,1976-11-02,Operator,Retail,Affluent Customer,N,Yes,5.0,1976,41,6 Kedzie Hill,2214,New South Wales,Australia,9
1036,5,5,7125.26,5,0,Randene,Ingle,Female,6,1969-11-28,Paralegal,Financial Services,Mass Customer,N,Yes,12.0,1969,48,60601 Hoffman Court,2041,New South Wales,Australia,12
1037,8,8,6925.18,7,1,Sissie,Rielly,Female,95,1956-08-08,Human Resources Assistant II,Financial Services,Mass Customer,N,No,10.0,1956,61,1715 Scoville Drive,2031,New South Wales,Australia,11
104,9,9,8985.64,9,0,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,1978,39,85688 New Castle Crossing,4171,Queensland,Australia,10
1040,4,4,4072.65,4,0,Jacenta,Wedlock,Female,78,1975-03-04,Food Chemist,Health,High Net Worth,N,No,9.0,1975,42,27135 Melvin Plaza,4556,Queensland,Australia,8
1042,3,3,4585.77,3,0,Isacco,Woodwind,Male,0,1976-01-14,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,11.0,1976,41,094 Green Road,2216,New South Wales,Australia,11
1043,10,9,14313.43,9,1,Giorgi,Hurford,Male,34,1986-10-20,Sales Associate,Financial Services,Mass Customer,N,Yes,16.0,1986,31,91 Spohn Plaza,4573,Queensland,Australia,7
1047,8,8,6874.87,8,0,Standford,Tanswill,Male,39,1978-09-03,VP Accounting,Financial Services,Affluent Customer,N,No,11.0,1978,39,6 Pawling Trail,2871,New South Wales,Australia,7
1049,10,10,11130.05,10,0,Fraser,Gaenor,Male,35,1996-03-02,Software Consultant,Property,Mass Customer,N,No,2.0,1996,21,79 Lighthouse Bay Lane,3082,Victoria,Australia,8
105,4,4,6234.35,4,0,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0,2001,16,8611 Loomis Lane,2155,New South Wales,Australia,10
1050,6,6,4722.12,6,0,Marjie,Ghion,Female,7,1973-07-29,Software Consultant,Telecommunications,Mass Customer,N,Yes,15.0,1973,44,2354 Forster Road,2131,New South Wales,Australia,11
1051,5,4,4878.81,5,0,Xylia,Lange,Female,34,1977-09-29,Help Desk Technician,Property,High Net Worth,N,Yes,14.0,1977,40,5271 Vernon Court,3207,Victoria,Australia,10
1052,6,5,8478.41,6,0,Dela,Flannigan,Female,31,1986-02-02,Junior Executive,Financial Services,High Net Worth,N,No,3.0,1986,31,06 Declaration Hill,3184,Victoria,Australia,11
1055,2,2,924.06,2,0,Danell,Rose,Female,30,1988-06-08,Data Coordiator,Manufacturing,Mass Customer,N,No,12.0,1988,29,2330 Huxley Crossing,2570,New South Wales,Australia,10
1056,7,6,7920.27,7,0,Kendricks,Markel,Male,96,1966-12-18,Software Test Engineer IV,Manufacturing,Affluent Customer,N,No,6.0,1966,51,5811 Hanson Lane,2260,New South Wales,Australia,7
1057,4,4,5663.77,4,0,Laryssa,Durdle,Female,73,1969-04-06,Registered Nurse,Health,Mass Customer,N,No,5.0,1969,48,7 Main Crossing,2065,New South Wales,Australia,12
1058,3,3,2308.7200000000003,3,0,Gretel,Gionettitti,Female,37,1987-10-24,Research Assistant IV,Retail,Affluent Customer,N,Yes,4.0,1987,30,682 Spenser Plaza,3977,Victoria,Australia,6
1059,2,2,2449.81,2,0,Chantal,Plante,Female,68,1968-02-16,Account Representative III,Entertainment,High Net Worth,N,Yes,6.0,1968,49,1149 Riverside Parkway,2016,New South Wales,Australia,11
1060,6,5,9606.77,6,0,Vanda,Boadby,Female,88,1961-11-23,Associate Professor,Argiculture,Affluent Customer,N,Yes,13.0,1961,56,1176 Pine View Lane,2112,New South Wales,Australia,11
1063,6,6,5833.22,6,0,Terrence,Geck,Male,22,1987-03-01,Actuary,Financial Services,Affluent Customer,N,Yes,13.0,1987,30,6988 Acker Crossing,2217,New South Wales,Australia,10
1064,3,3,5404.67,3,0,Thornie,Andrusov,Male,3,1977-06-13,Librarian,Entertainment,Affluent Customer,N,Yes,8.0,1977,40,9993 Mccormick Street,2223,New South Wales,Australia,8
1065,6,6,4709.66,6,0,Chilton,Ghirigori,Male,8,1962-06-27,Quality Engineer,Financial Services,Mass Customer,N,Yes,8.0,1962,55,7 Holmberg Circle,2018,New South Wales,Australia,9
1066,3,3,2637.53,3,0,Hailey,Ricciardi,Male,45,1995-10-06,Recruiter,Telecommunications,High Net Worth,N,No,12.0,1995,22,7 Village Green Circle,3109,Victoria,Australia,10
1067,2,2,1854.93,2,0,Berri,Cotillard,Female,13,1965-05-17,Engineer IV,Financial Services,Mass Customer,N,Yes,13.0,1965,52,4044 Tennessee Parkway,2315,New South Wales,Australia,9
1069,5,5,6910.5,5,0,Reese,Titterington,Male,85,1976-04-15,Web Designer I,Telecommunications,Mass Customer,N,No,15.0,1976,41,6 Sycamore Drive,4053,Queensland,Australia,7
107,4,3,3345.1000000000004,4,0,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,1990,27,01 Muir Parkway,2096,New South Wales,Australia,12
1072,3,3,3697.58,3,0,Curt,Petrello,Male,60,1957-06-01,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,1957,60,3 Center Crossing,2452,New South Wales,Australia,3
1075,7,6,6623.97,7,0,Cullin,Elcoate,Male,26,1967-07-25,Administrative Officer,Manufacturing,High Net Worth,N,No,7.0,1967,50,69881 Westport Parkway,2880,New South Wales,Australia,1
1076,12,12,14390.1,12,0,Siegfried,Trattles,Male,33,2000-06-06,Pharmacist,Health,Affluent Customer,N,No,2.0,2000,17,44 Ramsey Road,2515,New South Wales,Australia,9
1078,6,6,5117.1,6,0,Abe,Pilley,Male,69,1976-06-05,Executive Secretary,Manufacturing,Mass Customer,N,No,20.0,1976,41,356 Petterle Way,2193,New South Wales,Australia,9
1079,4,4,3829.11,4,0,Dennie,L' Anglois,Male,70,1978-01-03,Nurse Practicioner,Manufacturing,Mass Customer,N,No,18.0,1978,39,2827 Fallview Lane,2064,New South Wales,Australia,9
1080,3,3,3133.43,3,0,Monah,Talbot,Female,70,1999-12-26,Speech Pathologist,Property,Mass Customer,N,Yes,2.0,1999,18,7 Del Sol Road,4220,Queensland,Australia,9
1081,5,5,6119.719999999999,5,0,Marga,Cradduck,Female,25,1985-10-21,Social Worker,Health,Mass Customer,N,No,16.0,1985,32,05415 Basil Junction,2450,New South Wales,Australia,8
1084,11,10,11437.05,10,1,Serena,Jagson,Female,54,1994-05-18,Accounting Assistant I,Retail,Affluent Customer,N,No,8.0,1994,23,24596 Hoepker Avenue,2322,New South Wales,Australia,4
1085,4,4,2487.7000000000003,4,0,Lucho,Strafen,Male,4,1975-09-12,Internal Auditor,Health,Mass Customer,N,No,8.0,1975,42,75 Mesta Hill,4509,Queensland,Australia,7
1086,9,9,8640.220000000001,9,0,Ezechiel,Parnall,Male,84,1989-06-21,Statistician IV,Property,Mass Customer,N,Yes,4.0,1989,28,7258 Mandrake Terrace,3138,Victoria,Australia,9
1087,3,3,3535.79,3,0,Lian,Madrell,Female,39,1979-09-18,Financial Analyst,Financial Services,Mass Customer,N,Yes,8.0,1979,38,84741 Scoville Terrace,3029,Victoria,Australia,5
1089,7,7,6202.85,7,0,Korney,Hess,Female,90,1988-09-17,Product Engineer,Property,Affluent Customer,N,No,12.0,1988,29,332 Maywood Crossing,3136,Victoria,Australia,9
1092,5,5,4893.719999999999,5,0,Katlin,Creddon,Female,56,1935-08-22,VP Quality Control,Retail,Mass Customer,N,No,5.0,1935,82,5515 Artisan Center,3337,Victoria,Australia,3
1094,7,7,7255.12,7,0,Shaughn,Salters,Male,48,1975-12-27,Dental Hygienist,Health,High Net Worth,N,No,19.0,1975,42,06 Heffernan Junction,4074,Queensland,Australia,7
1095,4,3,6916.039999999999,4,0,Emelda,Gerler,Female,2,1958-08-29,Project Manager,Health,Mass Customer,N,No,6.0,1958,59,04 Onsgard Center,2101,New South Wales,Australia,9
1096,5,3,3865.37,5,0,Jakie,Mungham,Male,33,1969-11-29,Software Test Engineer I,Health,High Net Worth,N,No,14.0,1969,48,37 Division Way,2153,New South Wales,Australia,9
1097,4,4,4367.81,4,0,Gwenora,Grabbam,Female,71,1968-01-31,Engineer II,Financial Services,Mass Customer,N,Yes,18.0,1968,49,9623 Fisk Plaza,2164,New South Wales,Australia,8
1098,8,8,7594.29,8,0,Maure,Crow,Female,99,1989-02-01,Administrative Assistant IV,Financial Services,Mass Customer,N,Yes,12.0,1989,28,9419 Homewood Way,2160,New South Wales,Australia,9
1099,2,2,1248.96,2,0,Jarrett,Maffia,Male,12,1975-01-13,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,11.0,1975,42,26349 Spaight Junction,2756,New South Wales,Australia,8
1100,3,3,2767.35,3,0,Cord,Braundt,Male,59,1983-01-02,Engineer I,Manufacturing,Mass Customer,N,No,15.0,1983,34,1063 Forest Avenue,4510,Queensland,Australia,3
1102,8,8,8832.98,8,0,Stephana,Puzey,Female,16,1976-08-17,Recruiting Manager,Manufacturing,Affluent Customer,N,No,15.0,1976,41,4 Barby Road,2647,New South Wales,Australia,3
1103,12,11,15447.92,12,0,Glynnis,Sailor,Female,76,1978-01-30,Financial Advisor,Financial Services,High Net Worth,N,Yes,20.0,1978,39,258 Luster Court,2154,New South Wales,Australia,10
1104,7,7,6458.3,7,0,Jewelle,Pincott,Female,82,1959-12-31,Programmer III,Retail,Mass Customer,N,No,8.0,1959,58,22669 Lien Center,2565,New South Wales,Australia,6
1106,9,8,11078.47,9,0,Sibyl,Bigmore,Female,2,1962-12-17,Software Consultant,Retail,Mass Customer,N,No,15.0,1962,55,9 Superior Plaza,3185,Victoria,Australia,11
1107,6,4,4394.39,6,0,Maridel,Whitby,Female,70,1974-07-17,Social Worker,Health,High Net Worth,N,No,18.0,1974,43,86603 Dexter Road,2164,New South Wales,Australia,9
1108,4,4,1790.0,4,0,Ginnie,Farriar,Female,86,1962-03-06,Dental Hygienist,Health,Mass Customer,N,No,17.0,1962,55,8 Ridgeview Park,2323,New South Wales,Australia,5
1109,3,3,2411.02,3,0,Nestor,Billingsley,Male,21,1989-09-01,Web Developer II,Entertainment,High Net Worth,N,No,6.0,1989,28,4754 Ramsey Junction,3130,Victoria,Australia,9
1110,6,6,7310.36,6,0,Lazar,Cherryman,Male,73,1991-03-17,Information Systems Manager,Retail,High Net Worth,N,No,12.0,1991,26,9 Dayton Alley,3757,Victoria,Australia,7
1113,9,9,10999.37,9,0,Dorie,Willock,Male,45,1992-06-24,Recruiter,Property,Mass Customer,N,No,6.0,1992,25,515 3rd Road,2037,New South Wales,Australia,12
1114,4,4,4156.4,4,0,Evonne,Southan,Female,96,1976-06-03,Structural Engineer,Retail,Mass Customer,N,No,14.0,1976,41,184 Roth Pass,4211,Queensland,Australia,7
1118,4,4,3365.19,4,0,Colline,Coulman,Female,95,1975-12-19,Sales Representative,Retail,Mass Customer,N,Yes,9.0,1975,42,20519 Katie Circle,2152,New South Wales,Australia,8
112,6,6,9059.89,6,0,Shena,Parren,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0,1975,42,0 David Terrace,3204,Victoria,Australia,11
1120,6,6,5386.26,6,0,Jacquelyn,Rowlinson,Female,87,1980-08-31,Web Developer IV,Retail,Affluent Customer,N,No,12.0,1980,37,03 6th Alley,2168,New South Wales,Australia,9
1121,2,2,2973.36,2,0,Dione,Raithby,Female,30,1984-01-21,Registered Nurse,Health,Mass Customer,N,Yes,3.0,1984,33,8548 Hanover Park,2067,New South Wales,Australia,11
1124,3,3,3731.08,3,0,Eben,Threader,Male,36,1965-02-03,Health Coach III,Health,Affluent Customer,N,Yes,9.0,1965,52,0355 3rd Drive,2118,New South Wales,Australia,11
1125,5,5,3793.57,5,0,Raff,Everley,Male,25,1990-01-19,Software Test Engineer III,IT,Affluent Customer,N,No,9.0,1990,27,0182 Esker Center,2759,New South Wales,Australia,9
1127,4,4,5261.43,4,0,Elly,Ormshaw,Female,30,1991-02-27,Physical Therapy Assistant,Financial Services,Mass Customer,N,No,8.0,1991,26,1879 Mitchell Center,2206,New South Wales,Australia,10
1128,5,5,5855.4400000000005,5,0,Kirsten,Longman,Female,47,1992-04-12,Financial Advisor,Financial Services,Mass Customer,N,Yes,8.0,1992,25,81114 7th Place,4869,Queensland,Australia,4
1132,9,9,10548.14,9,0,Coriss,Darkott,Female,99,1985-08-01,Actuary,Financial Services,Affluent Customer,N,Yes,9.0,1985,32,8 Hansons Street,3076,Victoria,Australia,7
1134,7,7,6797.39,6,1,Sullivan,Scullion,Male,22,1994-09-30,Administrative Assistant IV,Financial Services,Affluent Customer,N,No,3.0,1994,23,771 Sugar Way,2076,New South Wales,Australia,11
1135,3,3,3530.65,3,0,Mireielle,Avrasin,Female,60,1980-05-03,Software Engineer IV,Financial Services,Mass Customer,N,Yes,11.0,1980,37,1792 Judy Road,2539,New South Wales,Australia,6
1136,6,4,5600.86,6,0,Ivan,Blackhall,Male,72,1977-08-31,Executive Secretary,Property,High Net Worth,N,No,7.0,1977,40,92 Melvin Hill,2147,New South Wales,Australia,9
1138,6,6,7506.16,6,0,Elli,Loxdale,Female,77,1991-09-21,Statistician I,Retail,Mass Customer,N,Yes,5.0,1991,26,6 Dapin Park,4503,Queensland,Australia,6
1139,4,4,3684.36,4,0,Shellysheldon,Wickey,Male,52,1982-09-15,Editor,Manufacturing,Mass Customer,N,Yes,16.0,1982,35,03 Holmberg Park,4127,Queensland,Australia,2
114,4,4,3233.0,4,0,Sunny,Swindells,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0,1985,32,60 Oneill Street,2170,New South Wales,Australia,9
1142,4,4,4828.39,4,0,Michal,Paiton,Male,95,1998-05-07,Desktop Support Technician,Telecommunications,Mass Customer,N,No,2.0,1998,19,5998 Bayside Terrace,2526,New South Wales,Australia,9
1143,5,5,7112.88,5,0,Goraud,Boissieux,Male,64,1955-03-06,Office Assistant IV,Health,Mass Customer,N,Yes,6.0,1955,62,107 Moland Court,2579,New South Wales,Australia,5
1144,7,5,9425.65,7,0,Damon,Phelip,Male,73,1996-12-12,Environmental Specialist,Health,High Net Worth,N,Yes,5.0,1996,21,4439 7th Terrace,2177,New South Wales,Australia,9
1146,2,2,2213.67,2,0,Hadleigh,Birley,Male,88,1992-08-31,Assistant Professor,Financial Services,High Net Worth,N,No,8.0,1992,25,0 Scofield Plaza,3201,Victoria,Australia,4
1147,6,6,8766.869999999999,6,0,Tate,Studholme,Male,71,1968-07-09,Health Coach II,Entertainment,High Net Worth,N,Yes,9.0,1968,49,51152 Brickson Park Crossing,2768,New South Wales,Australia,9
1148,3,3,3426.09,3,0,Inigo,Ojeda,Male,60,1987-09-28,Statistician IV,Financial Services,High Net Worth,N,No,5.0,1987,30,4668 Coleman Street,2160,New South Wales,Australia,5
1150,5,4,8439.82,5,0,Bernelle,Warwick,Female,64,1975-09-26,Information Systems Manager,Financial Services,Mass Customer,N,Yes,13.0,1975,42,1 Raven Junction,4502,Queensland,Australia,4
1151,5,5,5819.58,5,0,Brena,Amburgy,Female,27,1965-04-06,VP Product Management,Argiculture,High Net Worth,N,Yes,19.0,1965,52,40570 Acker Alley,2166,New South Wales,Australia,9
1152,8,8,9434.77,8,0,Humfrid,Ducket,Male,47,1998-06-23,Business Systems Development Analyst,Financial Services,Mass Customer,N,Yes,3.0,1998,19,893 Petterle Trail,4551,Queensland,Australia,10
1153,5,5,3306.24,5,0,Mirilla,Lothlorien,Female,53,1995-01-17,Desktop Support Technician,Health,Mass Customer,N,Yes,3.0,1995,22,84 Monument Terrace,4127,Queensland,Australia,4
1154,6,6,3442.78,6,0,Chase,Youd,Male,26,1974-11-24,Research Nurse,Health,Mass Customer,N,Yes,20.0,1974,43,0103 Bay Junction,2222,New South Wales,Australia,11
1155,7,6,5342.13,7,0,Janetta,Hartrick,Female,73,1994-01-15,VP Marketing,Property,Mass Customer,N,Yes,9.0,1994,23,9618 Havey Place,2710,New South Wales,Australia,1
1156,4,4,5965.4400000000005,4,0,Breena,Risebrow,Female,22,1997-10-16,Marketing Assistant,Argiculture,Mass Customer,N,Yes,1.0,1997,20,098 Veith Hill,4510,Queensland,Australia,3
1157,7,7,7726.53,7,0,Saunder,Camerati,Male,69,1974-04-03,Research Nurse,Health,Affluent Customer,N,Yes,17.0,1974,43,03058 Shoshone Lane,2090,New South Wales,Australia,12
1159,4,4,5803.34,4,0,Elbert,Bridgement,Male,94,1993-01-28,Librarian,Entertainment,Mass Customer,N,No,1.0,1993,24,154 Cambridge Point,3551,Victoria,Australia,8
116,8,8,5663.92,8,0,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0,1999,18,0349 Farmco Terrace,2168,New South Wales,Australia,8
1160,3,3,3192.01,3,0,Trisha,Nisuis,Female,98,1965-04-08,Speech Pathologist,IT,Affluent Customer,N,No,10.0,1965,52,3 Sachs Point,2250,New South Wales,Australia,7
1161,4,4,4151.98,4,0,Sibylle,Cutsforth,Female,86,1977-01-14,Senior Quality Engineer,Retail,Mass Customer,N,No,15.0,1977,40,0386 Mayfield Way,4122,Queensland,Australia,7
1163,5,2,2853.67,5,0,Manolo,Dwire,Male,77,1981-11-13,Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,1981,36,353 Oneill Park,3145,Victoria,Australia,9
1164,3,3,2164.22,3,0,Gilligan,Mowat,Female,97,1977-01-09,Food Chemist,Health,Mass Customer,N,Yes,17.0,1977,40,92867 Lukken Lane,3142,Victoria,Australia,9
1165,9,6,6796.88,9,0,Fanni,Wakelin,Female,58,1993-06-23,Administrative Assistant IV,Financial Services,High Net Worth,N,No,2.0,1993,24,11 Corscot Plaza,2710,New South Wales,Australia,1
1166,6,5,7638.8,6,0,Fannie,Devil,Female,40,1972-12-05,Quality Control Specialist,Health,Affluent Customer,N,No,8.0,1972,45,13 Buhler Plaza,2576,New South Wales,Australia,8
1167,4,4,4106.64,4,0,Elberta,Crickett,Female,20,1996-06-03,Software Test Engineer III,Health,Mass Customer,N,No,4.0,1996,21,72673 Mayfield Trail,4209,Queensland,Australia,6
1168,7,7,10263.16,7,0,Iosep,Shaddick,Male,44,1965-02-16,Pharmacist,Health,Affluent Customer,N,No,18.0,1965,52,42739 Moose Pass,3442,Victoria,Australia,8
1169,7,7,7605.57,7,0,Kessiah,Corden,Female,33,1967-08-09,Actuary,Financial Services,Mass Customer,N,Yes,13.0,1967,50,3 Atwood Lane,2153,New South Wales,Australia,10
117,10,10,12856.83,10,0,Nance,Suttling,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,1982,35,185 Pennsylvania Way,4226,Queensland,Australia,6
1170,5,5,6345.1,5,0,Lari,Rotte,Female,62,1964-11-30,Assistant Professor,IT,Mass Customer,N,Yes,4.0,1964,53,378 Prentice Point,4064,Queensland,Australia,9
1173,3,3,2042.97,3,0,Gertie,Chaim,Female,58,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0,1978,39,71 Cherokee Hill,2127,New South Wales,Australia,7
1177,8,8,8367.47,8,0,Bobbette,Pozzi,Female,47,1953-08-31,Food Chemist,Health,Affluent Customer,N,Yes,6.0,1953,64,858 Swallow Parkway,2150,New South Wales,Australia,8
1178,8,8,10226.15,8,0,Angelo,Byne,Male,1,1970-05-26,Pharmacist,Health,Mass Customer,N,No,13.0,1970,47,0005 Independence Drive,2118,New South Wales,Australia,9
1180,4,4,3870.83,4,0,Gaye,Quickenden,Female,48,1975-08-17,Account Representative I,Financial Services,Affluent Customer,N,No,10.0,1975,42,03890 Logan Court,2747,New South Wales,Australia,8
1181,10,10,9928.33,10,0,Brita,Plant,Female,2,1978-06-06,Tax Accountant,Argiculture,Mass Customer,N,No,8.0,1978,39,8 Clyde Gallagher Court,4217,Queensland,Australia,8
1182,8,7,9588.19,8,0,Carolann,Ottiwill,Female,84,1975-01-11,Data Coordiator,IT,Mass Customer,N,Yes,7.0,1975,42,62 Elka Terrace,2430,New South Wales,Australia,3
1184,6,6,7155.030000000001,6,0,Auberta,Teodori,Female,89,1968-10-07,Social Worker,Health,Mass Customer,N,No,13.0,1968,49,63588 Clove Court,2017,New South Wales,Australia,9
1186,6,6,5299.35,4,2,Brantley,Cecchi,Male,70,1977-05-28,Help Desk Operator,Manufacturing,Affluent Customer,N,Yes,20.0,1977,40,84 Westridge Hill,2061,New South Wales,Australia,10
1189,4,4,2894.1,4,0,Mart,Bazoche,Male,22,1988-08-29,Geologist I,Health,High Net Worth,N,Yes,8.0,1988,29,651 Mesta Drive,3173,Victoria,Australia,9
1190,6,6,4050.13,6,0,Sib,Gilby,Female,67,1968-09-07,Assistant Professor,Financial Services,Affluent Customer,N,Yes,10.0,1968,49,1 Merrick Parkway,2830,New South Wales,Australia,2
1192,5,5,4306.09,5,0,Hollyanne,McCarter,Female,31,1969-12-12,VP Quality Control,Manufacturing,Mass Customer,N,No,16.0,1969,48,63576 Anzinger Trail,2168,New South Wales,Australia,9
1193,4,4,4694.62,4,0,Quintus,Whear,Male,58,1986-01-21,Safety Technician I,Retail,High Net Worth,N,No,5.0,1986,31,05 Charing Cross Plaza,2320,New South Wales,Australia,5
1195,5,5,5178.38,5,0,Ally,Folliott,Female,0,1978-03-22,VP Marketing,Telecommunications,Mass Customer,N,No,18.0,1978,39,0 Northport Hill,3043,Victoria,Australia,8
1196,6,6,5307.82,6,0,Phillie,Bradforth,Female,23,1998-03-19,Research Nurse,Health,Mass Customer,N,No,2.0,1998,19,894 Maple Wood Drive,2251,New South Wales,Australia,10
1197,4,4,4455.89,4,0,Isobel,Lampett,Female,44,1997-10-16,Professor,Financial Services,High Net Worth,N,Yes,5.0,1997,20,05 Daystar Lane,2560,New South Wales,Australia,8
1198,6,6,6397.58,6,0,Alina,Rickson,Female,73,1973-09-30,Sales Representative,Retail,High Net Worth,N,No,7.0,1973,44,81167 Division Hill,2873,New South Wales,Australia,1
1199,8,8,6090.45,8,0,Ludovico,Bertot,Male,7,1958-06-14,VP Accounting,Financial Services,Affluent Customer,N,Yes,5.0,1958,59,761 Bellgrove Lane,2541,New South Wales,Australia,7
12,7,6,6394.21,7,0,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,1994,23,44339 Golden Leaf Alley,4557,Queensland,Australia,4
